#Rank,University,Town
1,Massachusetts Institute of Technology,Cambridge
2,Harvard University,Cambridge
3,Stanford University,Stanford ...
4,"University of California, Berkeley",Berkeley ...
5,Purdue University,West Lafayette
6,Cornell University,Ithaca
7,University of Washington,Seattle ...
8,Columbia University in the City of New York,New York City
9,University of Michigan,Ann Arbor ...
10,Penn State University,University Park ...
11,University of Minnesota,Minneapolis ...
12,University of Wisconsin-Madison,Madison
13,"University of California, Los Angeles",Los Angeles ...
14,New York University,New York City ...
15,University of Pennsylvania,Philadelphia
16,Yale University,New Haven
17,The University of Texas at Austin,Austin
18,Princeton University,Princeton
19,Carnegie Mellon University,Pittsburgh ...
20,University of Southern California,Los Angeles
21,"University of California, Irvine",Irvine ...
22,University of Colorado Boulder,Boulder
23,University of Illinois at Urbana-Champaign,Champaign ...
24,Arizona State University,Tempe ...
25,University of Chicago,Chicago
26,Johns Hopkins University,Baltimore ...
27,"University of California, San Diego",San Diego ...
28,Michigan State University,East Lansing
29,The University of Arizona,Tucson
30,University of Florida,Gainesville
31,"Rutgers, The State University of New Jersey",New Brunswick ...
32,Northwestern University,Evanston ...
33,Texas A&M University,College Station
34,Duke University,Durham
35,Boston University,Boston ...
36,"University of California, Davis",Davis ...
37,The University of Utah,Salt Lake City
38,University of North Carolina at Chapel Hill,Chapel Hill
39,University of Maryland,College Park
40,The Ohio State University,Columbus ...
41,North Carolina State University,Raleigh
42,Georgia Institute of Technology,Atlanta
43,University of Virginia,Charlottesville ...
44,University of Pittsburgh,Pittsburgh ...
45,Washington University in St. Louis,St. Louis
46,Virginia Polytechnic Institute and State University,Blacksburg
47,Florida State University,Tallahassee ...
48,Indiana University Bloomington,Bloomington
49,Iowa State University of Science and Technology,Ames
50,"University of California, Santa Barbara",Santa Barbara ...
51,University of Massachusetts Amherst,Amherst
52,Oregon State University,Corvallis ...
53,University of Houston,Houston
54,George Mason University,Fairfax
55,Georgetown University,Washington
56,Colorado State University,Fort Collins
57,California Institute of Technology,Pasadena
58,Brigham Young University,Provo
59,Georgia State University,Atlanta
60,University of Nebraska-Lincoln,Lincoln
61,University of South Florida,Tampa ...
62,Brown University,Providence
63,University of Georgia,Athens
64,Tufts University,Medford
65,University of Iowa,Iowa City ...
66,University of Delaware,Newark
67,University of Oregon,Eugene ...
68,George Washington University,Washington ...
69,Dartmouth College,Hanover
70,Washington State University,Pullman
71,University of Rochester,Rochester
72,University of Notre Dame,Notre Dame
73,Vanderbilt University,Nashville
74,"University of California, Santa Cruz",Santa Cruz ...
75,"University at Buffalo, State University of New York",Buffalo ...
76,University of Illinois at Chicago,Chicago ...
77,Rice University,Houston
78,Temple University,Philadelphia ...
79,Syracuse University,Syracuse
80,University of Central Florida,Orlando ...
81,"University of California, San Francisco",San Francisco ...
82,University of Kentucky,Lexington
83,Emory University,Atlanta
84,Northeastern University,Boston ...
85,The University of Oklahoma,Norman ...
86,"The University of Tennessee, Knoxville",Knoxville ...
87,"University of California, Riverside",Riverside ...
88,University of Kansas,Lawrence ...
89,Louisiana State University,Baton Rouge
90,Rochester Institute of Technology,Rochester
91,San Diego State University,San Diego ...
92,University of Connecticut,Storrs ...
93,University of New Mexico,Albuquerque ...
94,University of South Carolina,Columbia ...
95,University of Missouri,Columbia
96,Virginia Commonwealth University,Richmond
97,University of Miami,Coral Gables ...
98,Kent State University,Kent ...
99,University of Cincinnati,Cincinnati
100,Florida International University,Miami
101,Boston College,Chestnut Hill
102,Rensselaer Polytechnic Institute,Troy ...
103,Drexel University,Philadelphia
104,San José State University,San José
105,University of North Texas,Denton ...
106,Fordham University,The Bronx ...
107,The University of Alabama,Tuscaloosa
108,San Francisco State University,San Francisco
109,University of Vermont,Burlington
110,Liberty University,Lynchburg
