key,table,unseen,occurences
doc_id,info,0,3868
doc_path,info,0,3868
table_type,info,0,3868
candidate name,info,0,3280
title,info,0,3357
date,info,0,3668
mcgraw hill financial,info,0,51
glenn goldberg,info,0,1
"glenn s. goldbergpresident, commodities & commercial markets",info,0,11
john berisford,info,0,6
company name,info,0,3673
prepared for,info,0,3672
prepared by,info,0,3709
purpose of this assessment,info,0,3625
"rating (a,b,c)",info,0,3206
recommendation,info,0,3392
development report,info,0,12
feedback recipient,info,0,12
candidate,info,0,332
a,info,1,1
"rating (a, b, c)",info,0,83
smjartassessment report,info,0,2
leader name,info,0,5
overall performance score,info,0,5
"retention risk (h, m, l)",info,1,5
recommendation summary,info,0,5
rating,info,0,43
name,info,0,355
role,info,0,9
smartfeedback report for anne donovan,info,0,3
successful financial,info,0,1
"jon doepresident, successful capital",info,0,1
grade,info,1,11
blackstone b2r finance,info,0,2
developmental assessment,info,0,11
"john beachamchief securitization officer, b2r finance",info,0,2
summary,info,0,3
executive name,info,0,13
"rating (a, b,c)",info,0,2
participant name,info,0,3
"ratin2 (a,b,c)",info,0,2
"rating (hire, hire with reservations, do not hire)",info,0,5
assessment date,info,0,2
trevor campion,info,0,1
inventus ceo,info,0,1
"june 3, 2013",info,0,1
prepared for clearlake capitalprepared by thor mann,info,0,1
barry litwin,info,0,2
"candidate for president, swiss watch international",info,0,1
"september 27, 2013",info,0,1
prepared for behdad eghbaliprepared by thor mann and sapna werner,info,0,1
smartfeedback report,info,0,17
rating against scorecard,info,0,10
executive,info,0,3
debrief date,info,0,1
"rating (hire, hire withreservations, do not hire)",info,1,1
purpose of this feedback process,info,0,5
douglas peterson,info,0,8
candidatemichael lynchtag end candidate,info,0,1
"candidate for rolesenior director, provider network managementtag end roleclientemblemhealth, inc.tag end client",info,0,1
"datemarch 5, 2014tag end date",info,0,1
"prepared for name clientshawn fitzgibbontag end name clientprepared by name(s)sheila a. kampa, ph.d.tag end name(s)",info,0,1
michael lynch,info,0,1
"candidate for senior director, provider network management emblemhealth, inc.",info,0,1
"march 5, 2014",info,0,1
"prepared for shawn fitzgibbon prepared by sheila a. kampa, ph.d.",info,0,1
mitchell rubin,info,0,1
"candidate for medical directoremblemhealth, inc.",info,0,1
"tuesday, october 1, 2013",info,0,1
"prepared for dr. eliza ngprepared by sheila a. kampa, ph.d.",info,0,1
candidatemark garganotag end candidate,info,0,1
"candidate for rolesenior director, analytics & informaticstag end roleclientemblemhealth, inc.tag end client",info,0,1
"datejanuary 13, 2014tag end date",info,0,1
"prepared for name clientrobert branchinitag end name clientprepared by name(s)sheila a. kampa, ph.d.tag end name(s)",info,0,1
craig bellise,info,0,1
"candidate for senior director, government programs revenue & financeemblemhealth, inc.",info,0,1
"wednesday, june 26, 2013",info,0,1
"prepared for william lamoreauxprepared by sheila a. kampa, ph.d.",info,0,1
candidate namecraig bellisetag end candidate name,info,0,1
"candidate for rolecandidate for senior director, government programs revenue & financetag end roleclientemblemhealth, inc.tag end client",info,0,1
"datejune 26, 2013tag end date",info,0,1
"prepared for name, clientwilliam lamoreauxtag end name, clientprepared by name(s)sheila a. kampa, ph.d.tag end name(s)",info,0,1
candidatealbert doninitag end candidate,info,0,1
"candidate for rolesenior director, it application servicestag end roleclientemblemhealth, inc.tag end client",info,0,1
"datejanuary 21, 2014tag end date",info,0,1
"prepared for name clientjoseph shentag end name clientprepared by name(s)sheila a. kampa, ph.d.tag end name(s)",info,0,1
candidatedan shurtag end candidate,info,0,1
"candidate for rolesenior director, strategic planningtag end roleclientemblemhealth, inc.tag end client",info,0,1
"datejuly 18, 2013tag end date",info,0,2
"prepared for name clientwilliam lamoreauxtag end name clientprepared by name(s)sheila a. kampa, ph.d.tag end name(s)",info,0,1
candidate namepatrick wormsertag end candidate name,info,0,1
"candidate for rolesenior director, ancillary & hospital contractingtag end roleclientemblemhealth, inc.tag end client",info,0,1
"prepared for name, clientcarl lund and michelle lyddontag end name, clientprepared by name(s)viji annamalaitag end name(s)",info,0,1
candidate nametoby mukherjeetag end candidate name,info,0,1
"candidate for rolesenior director, enterprise architecturetag end roleclientemblemhealth, inc.tag end client",info,0,1
"dateseptember 3, 2013tag end date",info,0,1
"prepared for name, clientbob branchini and michelle lyddontag end name, clientprepared by name(s)viji annamalaitag end name(s)",info,0,1
candidatefrank a. melacciotag end candidate,info,0,1
"candidate for roleassistant treasurertag end roleclientemblemhealth, inc.tag end client",info,0,1
"dateseptember 10, 2013tag end date",info,0,1
"prepared for name clientmike palmateertag end name clientprepared by name(s)sheila a. kampa, ph.d.tag end name(s)",info,0,1
suzanne ronner,info,0,1
"candidate for vice president, serviceemblemhealth, inc.",info,0,1
"wednesday, july 10, 2013",info,0,1
prepared for michele powersprepared by sheila a. kampa,info,0,1
candidate names,info,1,5
client name,info,0,4
p&g,info,0,2
"mark bieggerchro, p&g",info,0,2
summary report,info,0,1
overall grade,info,0,1
purpose of thisassessment,info,1,9
"jack callahan, chief financial officer",info,0,7
position,info,0,4
kenneth lochiatto,info,0,1
candidate for ceokrg convergint,info,0,1
"october 7, 2013",info,0,1
prepared for convergint and krg capitalprepared by thor mann,info,0,1
position applying for,info,0,2
purpose,info,0,2
mcgraw hill financials&p capiq,info,0,14
harry chopra,info,0,8
oscar henquet,info,0,1
candidate for general managerrudd wineries,info,0,1
"april 1, 2013",info,0,1
"prepared for leslie rudd, leslie rudd investment companyprepared by thor mann and jordan burton",info,0,1
lou eccleston,info,0,5
organization name,info,0,3
robert coppola,info,0,3
"glenn goldberg, president, mcgraw hill information & media",info,0,1
"lou ecclestonpresident, s&p capital iq and indices",info,0,4
"martina cheungchief strategy officer, mhfi",info,0,3
"namerole, mhfi",info,0,1
"imogen dillon hatcherpresident, capital iq, mhfi",info,0,1
"courtney geduldigvp, global government affairs, mhfi",info,0,2
smartfeedback report for mike mcgauley,info,0,1
smartfeedback® report,info,0,6
purpose of this document,info,0,2
interview date,info,0,13
purpose of this summary,info,0,1
josh bouk,info,0,1
clearlake calero,info,0,5
"november 11, 2013",info,0,3
"prepared for kevin wood, mformationprepared by thor mann",info,0,5
larry foster,info,0,1
donna maxwell,info,0,1
"november 12, 2013",info,0,2
tony mazzullo,info,0,1
tom mcalees,info,0,1
smartfeedback report for rick mclaughlin,info,0,1
